Wavelength	Intensity	ROI	Frame	Row	Column
921.93755351249638	581	1	1	0	0
921.95465514507191	582	1	1	0	1
921.97175641248555	586	1	1	0	2
921.98885731470011	582	1	1	0	3
922.00595785167764	587	1	1	0	4
922.02305802338071	583	1	1	0	5
922.04015782977183	589	1	1	0	6
922.05725727081347	578	1	1	0	7
922.07435634646765	587	1	1	0	8
922.09145505669721	582	1	1	0	9
922.10855340146475	580	1	1	0	10
922.12565138073251	575	1	1	0	11
922.14274899446264	581	1	1	0	12
922.15984624261807	584	1	1	0	13
922.17694312516107	589	1	1	0	14
922.194039642054	590	1	1	0	15
922.21113579325947	590	1	1	0	16
922.22823157874006	590	1	1	0	17
922.24532699845781	591	1	1	0	18
922.26242205237565	582	1	1	0	19
922.27951674045573	584	1	1	0	20
922.29661106266076	577	1	1	0	21
922.31370501895287	582	1	1	0	22
922.3307986092949	583	1	1	0	23
922.34789183364921	571	1	1	0	24
922.36498469197829	579	1	1	0	25
922.38207718424451	584	1	1	0	26
922.39916931041057	570	1	1	0	27
922.41626107043885	584	1	1	0	28
922.4333524642916	581	1	1	0	29
922.45044349193176	580	1	1	0	30
922.46753415332137	576	1	1	0	31
922.48462444842346	582	1	1	0	32
922.50171437720007	581	1	1	0	33
922.5188039396138	576	1	1	0	34
922.53589313562725	575	1	1	0	35
922.55298196520289	576	1	1	0	36
922.57007042830321	587	1	1	0	37
922.58715852489092	576	1	1	0	38
922.60424625492817	586	1	1	0	39
922.62133361837778	581	1	1	0	40
922.63842061520188	580	1	1	0	41
922.65550724536354	581	1	1	0	42
922.67259350882489	573	1	1	0	43
922.68967940554853	577	1	1	0	44
922.70676493549706	584	1	1	0	45
922.72385009863308	581	1	1	0	46
922.74093489491884	578	1	1	0	47
922.758019324317	581	1	1	0	48
922.77510338679042	581	1	1	0	49
922.7921870823011	578	1	1	0	50
922.80927041081191	580	1	1	0	51
922.82635337228533	570	1	1	0	52
922.843435966684	585	1	1	0	53
922.86051819397017	568	1	1	0	54
922.87760005410678	577	1	1	0	55
922.89468154705594	571	1	1	0	56
922.91176267278047	570	1	1	0	57
922.92884343124308	574	1	1	0	58
922.945923822406	574	1	1	0	59
922.963003846232	571	1	1	0	60
922.98008350268378	573	1	1	0	61
922.99716279172355	576	1	1	0	62
923.01424171331382	581	1	1	0	63
923.03132026741775	577	1	1	0	64
923.04839845399727	579	1	1	0	65
923.06547627301529	577	1	1	0	66
923.08255372443443	582	1	1	0	67
923.09963080821706	579	1	1	0	68
923.11670752432576	578	1	1	0	69
923.13378387272348	574	1	1	0	70
923.15085985337225	580	1	1	0	71
923.16793546623524	571	1	1	0	72
923.18501071127434	571	1	1	0	73
923.20208558845309	582	1	1	0	74
923.21916009773315	569	1	1	0	75
923.23623423907748	576	1	1	0	76
923.25330801244888	576	1	1	0	77
923.27038141780974	587	1	1	0	78
923.28745445512266	577	1	1	0	79
923.30452712435044	581	1	1	0	80
923.32159942545547	575	1	1	0	81
923.33867135840046	577	1	1	0	82
923.35574292314777	577	1	1	0	83
923.37281411966046	579	1	1	0	84
923.3898849479009	585	1	1	0	85
923.40695540783167	569	1	1	0	86
923.42402549941551	579	1	1	0	87
923.4410952226151	568	1	1	0	88
923.45816457739284	576	1	1	0	89
923.47523356371141	571	1	1	0	90
923.49230218153355	582	1	1	0	91
923.509370430822	573	1	1	0	92
923.526438311539	574	1	1	0	93
923.54350582364759	583	1	1	0	94
923.56057296711026	575	1	1	0	95
923.57763974188958	575	1	1	0	96
923.59470614794827	577	1	1	0	97
923.611772185249	573	1	1	0	98
923.62883785375448	572	1	1	0	99
923.6459031534273	571	1	1	0	100
923.66296808423	586	1	1	0	101
923.68003264612514	577	1	1	0	102
923.6970968390757	579	1	1	0	103
923.71416066304437	576	1	1	0	104
923.73122411799352	581	1	1	0	105
923.74828720388587	580	1	1	0	106
923.765349920684	576	1	1	0	107
923.782412268351	575	1	1	0	108
923.7994742468494	572	1	1	0	109
923.8165358561414	573	1	1	0	110
923.83359709619037	586	1	1	0	111
923.85065796695847	571	1	1	0	112
923.86771846840861	573	1	1	0	113
923.88477860050341	578	1	1	0	114
923.90183836320546	566	1	1	0	115
923.9188977564778	574	1	1	0	116
923.93595678028282	569	1	1	0	117
923.953015434583	580	1	1	0	118
923.97007371934171	580	1	1	0	119
923.98713163452089	580	1	1	0	120
924.00418918008381	576	1	1	0	121
924.021246355993	581	1	1	0	122
924.03830316221115	581	1	1	0	123
924.05535959870076	568	1	1	0	124
924.07241566542473	574	1	1	0	125
924.08947136234588	577	1	1	0	126
924.10652668942669	580	1	1	0	127
924.12358164663	579	1	1	0	128
924.14063623391849	582	1	1	0	129
924.157690451255	580	1	1	0	130
924.17474429860226	569	1	1	0	131
924.19179777592274	569	1	1	0	132
924.20885088317937	574	1	1	0	133
924.22590362033486	565	1	1	0	134
924.24295598735182	570	1	1	0	135
924.26000798419307	575	1	1	0	136
924.27705961082154	574	1	1	0	137
924.29411086719949	576	1	1	0	138
924.31116175329032	581	1	1	0	139
924.328212269056	571	1	1	0	140
924.34526241446	580	1	1	0	141
924.36231218946477	584	1	1	0	142
924.37936159403284	578	1	1	0	143
924.39641062812734	574	1	1	0	144
924.41345929171064	572	1	1	0	145
